txn_id,account_id,txn_date,txn_type,merchant,amount_usd,currency,signed_amount_usd
9000053,11080,2024-01-03,CREDIT,Shell,127.34,USD,127.34
9000054,10878,2025-06-04,DEBIT,Walmart,282.33,USD,-282.33
9000055,11165,2025-06-03,CREDIT,Costco,203.28,USD,203.28
9000056,10718,2025-06-04,DEBIT,Uber,173.46,USD,-173.46
9000057,10651,2025-02-04,DEBIT,Uber,155.81,USD,-155.81
9000058,10618,2025-10-25,DEBIT,Netflix,427.86,USD,-427.86
9000059,11908,2025-10-15,DEBIT,Target,384.8,USD,-384.8
9000060,11826,2024-09-30,CREDIT,CVS,262.2,USD,262.2
9000061,10408,2025-04-16,DEBIT,Target,332.58,USD,-332.58
9000062,11101,2025-01-06,DEBIT,Uber,492.28,USD,-492.28
9000063,11025,2025-03-06,CREDIT,CVS,199.37,USD,199.37
9000064,10785,2025-06-22,DEBIT,Target,276.0,USD,-276.0
9000065,10034,2024-12-13,DEBIT,CVS,267.23,USD,-267.23
9000066,11800,2024-03-11,DEBIT,Shell,468.05,USD,-468.05
9000067,10394,2025-04-26,DEBIT,Costco,176.43,USD,-176.43
9000068,11241,2025-12-31,DEBIT,Starbucks,493.14,USD,-493.14
9000069,11090,2024-09-12,CREDIT,Target,153.04,USD,153.04
9000070,11092,2024-04-12,CREDIT,Netflix,55.34,USD,55.34
9000071,11247,2024-05-26,DEBIT,Target,96.5,USD,-96.5
9000072,10360,2025-10-31,DEBIT,Apple,213.68,USD,-213.68
9000073,10457,2024-05-19,CREDIT,Uber,325.23,USD,325.23
9000074,10293,2025-10-16,CREDIT,Netflix,258.9,USD,258.9
9000075,11349,2025-09-12,CREDIT,Apple,188.76,USD,188.76
9000076,11226,2025-02-26,CREDIT,Netflix,281.45,USD,281.45
9000077,10592,2024-03-04,CREDIT,Uber,419.56,USD,419.56
9000078,10954,2024-09-27,CREDIT,Apple,419.63,USD,419.63
9000079,11601,2025-11-28,CREDIT,CVS,363.39,USD,363.39
9000080,10296,2025-05-27,DEBIT,Netflix,476.27,USD,-476.27
9000081,11815,2024-01-07,DEBIT,CVS,295.51,USD,-295.51
9000082,10945,2025-01-27,CREDIT,Shell,4.82,USD,4.82
9000083,10260,2024-01-01,DEBIT,CVS,146.17,USD,-146.17
9000084,10788,2024-09-17,DEBIT,Costco,164.78,USD,-164.78
9000085,11541,2024-02-16,CREDIT,Target,274.12,USD,274.12
9000086,11155,2024-01-02,DEBIT,Starbucks,452.54,USD,-452.54
9000087,11800,2025-06-18,DEBIT,CVS,419.22,USD,-419.22
9000088,11348,2024-12-24,DEBIT,Target,116.85,USD,-116.85
9000089,11091,2025-04-21,DEBIT,Starbucks,260.18,USD,-260.18
9000090,11149,2025-02-25,CREDIT,Walmart,329.92,USD,329.92
9000091,11416,2025-08-18,CREDIT,Target,493.77,USD,493.77
9000092,10401,2024-07-22,CREDIT,Netflix,16.62,USD,16.62
9000093,10826,2024-08-14,DEBIT,Shell,232.47,USD,-232.47
9000094,11706,2024-05-30,DEBIT,Starbucks,494.07,USD,-494.07
9000095,10335,2024-09-03,DEBIT,Target,488.63,USD,-488.63
9000096,10961,2024-01-17,DEBIT,Uber,166.03,USD,-166.03
9000097,10028,2024-10-30,CREDIT,Target,1.01,USD,1.01
9000098,11711,2025-05-28,DEBIT,Target,293.78,USD,-293.78
9000099,11842,2024-07-15,DEBIT,Costco,433.6,USD,-433.6
9000100,11961,2025-03-21,DEBIT,Uber,162.82,USD,-162.82
9000101,10803,2024-12-06,DEBIT,Apple,467.2,USD,-467.2
9000102,10843,2024-03-01,CREDIT,Target,167.02,USD,167.02
9000103,11640,2024-09-23,DEBIT,Shell,305.49,USD,-305.49
9000104,10044,2024-04-06,DEBIT,Uber,361.3,USD,-361.3
9000105,11124,2024-10-09,DEBIT,Shell,173.36,USD,-173.36
9000106,11249,2024-09-03,DEBIT,Walmart,176.75,USD,-176.75
9000107,10418,2024-02-04,DEBIT,Costco,235.53,USD,-235.53
9000108,10615,2025-04-13,CREDIT,Walmart,417.78,USD,417.78
9000109,10261,2024-03-08,CREDIT,Target,51.32,USD,51.32
9000110,10764,2024-07-07,DEBIT,Target,316.11,USD,-316.11
9000111,11700,2024-02-10,DEBIT,Starbucks,339.0,USD,-339.0
9000112,10291,2025-08-30,CREDIT,Target,279.38,USD,279.38
9000113,11235,2025-11-13,CREDIT,Shell,467.98,USD,467.98
9000114,11679,2024-03-07,DEBIT,CVS,301.39,USD,-301.39
9000115,11479,2024-11-03,DEBIT,Netflix,317.65,USD,-317.65
9000116,11259,2024-04-28,DEBIT,Amazon,300.28,USD,-300.28
9000117,10533,2025-11-13,CREDIT,Apple,361.29,USD,361.29
9000118,11092,2024-07-04,CREDIT,Walmart,68.57,USD,68.57
9000119,11604,2024-03-10,CREDIT,Shell,447.24,USD,447.24
9000120,11269,2025-11-01,DEBIT,CVS,22.2,USD,-22.2
9000121,10574,2024-10-10,CREDIT,Shell,320.73,USD,320.73
9000122,10236,2025-09-10,CREDIT,Netflix,308.12,USD,308.12
9000123,11354,2025-07-01,DEBIT,Shell,104.85,USD,-104.85
9000124,10362,2024-12-13,CREDIT,Amazon,21.31,USD,21.31
9000125,10530,2024-07-13,CREDIT,Shell,70.28,USD,70.28
9000126,10742,2025-04-28,DEBIT,Amazon,136.56,USD,-136.56
9000127,10464,2025-08-10,DEBIT,Target,441.17,USD,-441.17
9000128,11252,2024-10-06,DEBIT,Uber,428.01,USD,-428.01
9000129,11893,2024-12-13,CREDIT,Target,32.86,USD,32.86
9000130,11532,2025-08-14,DEBIT,Walmart,145.34,USD,-145.34
9000131,10381,2025-04-22,DEBIT,Target,444.77,USD,-444.77
9000132,10126,2024-04-07,DEBIT,Costco,119.09,USD,-119.09
9000133,10657,2024-10-08,CREDIT,Walmart,497.99,USD,497.99
9000134,11905,2025-09-21,DEBIT,Starbucks,129.16,USD,-129.16
9000135,11864,2025-02-22,DEBIT,Target,369.82,USD,-369.82
9000136,11137,2024-08-10,DEBIT,Costco,209.11,USD,-209.11
9000137,10242,2024-09-08,DEBIT,Netflix,68.99,USD,-68.99
9000138,11168,2024-03-20,CREDIT,CVS,128.32,USD,128.32
9000139,10552,2025-11-12,DEBIT,Target,337.88,USD,-337.88
9000140,11696,2025-02-16,DEBIT,Walmart,169.19,USD,-169.19
9000141,10438,2025-10-30,DEBIT,Walmart,302.46,USD,-302.46
9000142,11361,2025-01-27,DEBIT,Starbucks,103.56,USD,-103.56
9000143,10407,2024-11-29,DEBIT,Costco,224.84,USD,-224.84
9000144,10588,2024-11-23,DEBIT,Walmart,256.61,USD,-256.61
9000145,11191,2024-01-02,DEBIT,Walmart,206.98,USD,-206.98
9000146,10795,2024-07-21,CREDIT,Shell,99.76,USD,99.76
9000147,11645,2024-09-14,CREDIT,Target,231.32,USD,231.32
9000148,11730,2025-01-01,CREDIT,Target,346.76,USD,346.76
9000149,11763,2024-05-25,DEBIT,Apple,482.49,USD,-482.49
9000150,11994,2025-01-12,DEBIT,Apple,394.97,USD,-394.97
9000151,11190,2025-03-16,CREDIT,Apple,81.57,USD,81.57
9000152,11556,2025-03-30,DEBIT,Starbucks,137.08,USD,-137.08
9000153,11188,2025-02-10,CREDIT,Uber,40.33,USD,40.33
9000154,10641,2024-01-19,DEBIT,Costco,68.69,USD,-68.69
9000155,11285,2025-03-08,DEBIT,Uber,126.09,USD,-126.09
9000156,10563,2025-03-04,CREDIT,Amazon,100.56,USD,100.56
9000157,11284,2024-09-08,DEBIT,Shell,107.61,USD,-107.61
9000158,11198,2025-07-15,CREDIT,Shell,116.15,USD,116.15
9000159,10810,2025-10-10,CREDIT,Target,151.04,USD,151.04
9000160,11119,2024-08-08,DEBIT,Costco,63.67,USD,-63.67
9000161,11380,2024-04-22,DEBIT,Netflix,139.64,USD,-139.64
9000162,10369,2024-05-28,CREDIT,Netflix,344.52,USD,344.52
9000163,11575,2025-07-13,DEBIT,Starbucks,118.96,USD,-118.96
9000164,10906,2024-02-27,DEBIT,Target,86.75,USD,-86.75
9000165,11744,2024-07-15,DEBIT,CVS,34.78,USD,-34.78
9000166,11165,2025-10-10,CREDIT,Starbucks,250.49,USD,250.49
9000167,10769,2025-12-07,CREDIT,Target,421.15,USD,421.15
9000168,11190,2025-12-18,CREDIT,Target,30.45,USD,30.45
9000169,11726,2024-01-18,CREDIT,Amazon,271.62,USD,271.62
9000170,11342,2024-08-02,CREDIT,Uber,325.66,USD,325.66
9000171,11654,2025-12-18,DEBIT,Costco,296.64,USD,-296.64
9000172,10657,2025-09-27,DEBIT,Apple,438.93,USD,-438.93
9000173,10992,2024-01-16,DEBIT,Apple,433.33,USD,-433.33
9000174,11885,2025-11-07,CREDIT,Apple,29.6,USD,29.6
9000175,11358,2025-10-21,DEBIT,Starbucks,181.11,USD,-181.11
9000176,10988,2025-02-02,CREDIT,Walmart,335.74,USD,335.74
9000177,11497,2024-08-20,CREDIT,Starbucks,476.27,USD,476.27
9000178,11664,2024-01-25,DEBIT,CVS,402.54,USD,-402.54
9000179,11168,2025-02-04,DEBIT,Target,89.12,USD,-89.12
9000180,11077,2024-12-30,DEBIT,CVS,140.33,USD,-140.33
9000181,10121,2024-10-21,CREDIT,Walmart,382.03,USD,382.03
9000182,11147,2025-03-12,DEBIT,Uber,236.27,USD,-236.27
9000183,10166,2024-03-11,CREDIT,CVS,274.1,USD,274.1
9000184,10943,2025-12-12,CREDIT,Costco,304.88,USD,304.88
9000185,10833,2025-07-12,DEBIT,Netflix,52.54,USD,-52.54
9000186,11678,2024-01-25,CREDIT,CVS,428.13,USD,428.13
9000187,10021,2025-12-25,DEBIT,Costco,431.7,USD,-431.7
9000188,11299,2025-01-08,DEBIT,Target,234.65,USD,-234.65
9000189,11884,2025-06-28,DEBIT,Walmart,313.8,USD,-313.8
9000190,11962,2025-04-02,CREDIT,Costco,330.29,USD,330.29
9000191,11975,2024-08-01,DEBIT,Apple,95.67,USD,-95.67
9000192,10407,2024-07-29,DEBIT,CVS,57.18,USD,-57.18
9000193,10481,2025-06-24,CREDIT,Uber,11.32,USD,11.32
9000194,10298,2024-02-08,DEBIT,Uber,456.53,USD,-456.53
9000195,10276,2024-09-16,DEBIT,CVS,173.51,USD,-173.51
9000196,10815,2025-11-07,CREDIT,CVS,43.83,USD,43.83
9000197,10321,2024-04-04,DEBIT,Apple,233.43,USD,-233.43
9000198,10114,2025-01-24,DEBIT,Netflix,38.74,USD,-38.74
9000199,10271,2024-08-07,DEBIT,CVS,43.54,USD,-43.54
9000200,11191,2024-09-24,CREDIT,Starbucks,244.95,USD,244.95
9000201,11812,2025-05-08,DEBIT,Shell,254.91,USD,-254.91
9000202,11459,2025-09-21,DEBIT,CVS,290.49,USD,-290.49
9000203,11892,2024-03-06,CREDIT,Amazon,328.5,USD,328.5
9000204,10263,2025-01-21,DEBIT,Amazon,334.47,USD,-334.47
9000205,10249,2024-07-11,CREDIT,Uber,217.07,USD,217.07
9000206,11485,2024-11-15,CREDIT,Shell,322.12,USD,322.12
9000207,10877,2025-06-30,DEBIT,Shell,153.07,USD,-153.07
9000208,10438,2024-06-23,DEBIT,Apple,221.21,USD,-221.21
9000209,11790,2024-04-21,DEBIT,Starbucks,197.27,USD,-197.27
9000210,11365,2024-11-03,CREDIT,CVS,165.23,USD,165.23
9000211,11489,2024-12-05,DEBIT,CVS,120.05,USD,-120.05
9000212,11081,2024-03-20,CREDIT,Walmart,40.15,USD,40.15
9000213,10004,2025-04-22,DEBIT,Starbucks,253.45,USD,-253.45
9000214,11961,2024-04-20,DEBIT,Starbucks,269.11,USD,-269.11
9000215,11646,2025-05-01,DEBIT,Walmart,168.74,USD,-168.74
9000216,11900,2025-03-28,DEBIT,Shell,487.95,USD,-487.95
9000217,11821,2025-02-16,DEBIT,CVS,278.92,USD,-278.92
9000218,10862,2025-08-26,DEBIT,Starbucks,444.62,USD,-444.62
9000219,10264,2024-07-04,CREDIT,Starbucks,285.47,USD,285.47
9000220,11272,2025-07-06,DEBIT,Amazon,95.77,USD,-95.77
9000221,10094,2024-03-27,CREDIT,Amazon,487.34,USD,487.34
9000222,11886,2024-08-11,DEBIT,Amazon,442.78,USD,-442.78
9000223,11832,2024-02-20,DEBIT,Shell,236.17,USD,-236.17
9000224,10818,2024-05-05,CREDIT,CVS,122.29,USD,122.29
9000225,10696,2024-05-25,DEBIT,Walmart,112.11,USD,-112.11
9000226,11480,2024-02-10,DEBIT,Shell,403.2,USD,-403.2
9000227,10740,2024-12-20,DEBIT,Apple,35.49,USD,-35.49
9000228,10316,2025-03-20,DEBIT,Starbucks,319.39,USD,-319.39
9000229,10773,2024-12-28,CREDIT,Apple,320.43,USD,320.43
9000230,10118,2025-06-19,DEBIT,Uber,92.04,USD,-92.04
9000231,11769,2024-10-10,DEBIT,Target,352.75,USD,-352.75
9000232,10793,2024-02-05,CREDIT,Uber,353.0,USD,353.0
9000233,10201,2024-10-03,DEBIT,Costco,175.67,USD,-175.67
9000234,11797,2025-11-26,CREDIT,Shell,242.2,USD,242.2
9000235,11076,2024-11-20,DEBIT,Shell,416.55,USD,-416.55
9000236,10316,2025-10-27,DEBIT,Amazon,262.05,USD,-262.05
9000237,11696,2024-06-30,CREDIT,Starbucks,309.46,USD,309.46
9000238,11267,2025-04-15,DEBIT,Apple,206.97,USD,-206.97
9000239,11964,2025-02-20,CREDIT,Costco,75.65,USD,75.65
9000240,11117,2025-10-27,CREDIT,CVS,499.04,USD,499.04
9000241,11575,2024-05-29,DEBIT,CVS,266.24,USD,-266.24
9000242,11303,2025-02-07,DEBIT,Apple,168.89,USD,-168.89
9000243,11115,2025-05-28,DEBIT,Amazon,357.18,USD,-357.18
9000244,10812,2025-07-19,CREDIT,Amazon,310.79,USD,310.79
9000245,10037,2025-03-16,CREDIT,Netflix,117.22,USD,117.22
9000246,10412,2024-09-02,DEBIT,Target,438.59,USD,-438.59
9000247,10242,2024-02-15,DEBIT,Netflix,36.38,USD,-36.38
9000248,11387,2024-03-15,DEBIT,Starbucks,303.24,USD,-303.24
9000249,11998,2024-05-28,DEBIT,Amazon,239.47,USD,-239.47
9000250,11671,2025-02-09,CREDIT,Shell,159.78,USD,159.78
9000251,11087,2024-01-03,CREDIT,Costco,413.36,USD,413.36
9000252,10854,2024-01-09,DEBIT,Apple,328.48,USD,-328.48
9000253,11898,2025-05-28,DEBIT,Walmart,379.99,USD,-379.99
9000254,10200,2024-08-25,DEBIT,Costco,207.91,USD,-207.91
9000255,10306,2025-06-23,DEBIT,Walmart,471.26,USD,-471.26
9000256,11994,2024-10-16,CREDIT,Apple,173.02,USD,173.02
9000257,11797,2024-06-29,DEBIT,CVS,265.99,USD,-265.99
9000258,10174,2024-11-10,DEBIT,Uber,466.89,USD,-466.89
9000259,11712,2024-09-22,DEBIT,Apple,42.51,USD,-42.51
9000260,10971,2024-03-23,DEBIT,Uber,55.3,USD,-55.3
9000261,11015,2024-09-14,DEBIT,Target,497.1,USD,-497.1
9000262,10993,2025-07-13,CREDIT,Shell,485.72,USD,485.72
9000263,10596,2025-10-07,CREDIT,Starbucks,386.08,USD,386.08
9000264,10671,2024-07-17,DEBIT,Amazon,242.61,USD,-242.61
9000265,10693,2024-10-18,DEBIT,Shell,253.52,USD,-253.52
9000266,10547,2025-10-09,CREDIT,Target,129.35,USD,129.35
9000267,11880,2024-03-23,CREDIT,Uber,216.93,USD,216.93
9000268,11122,2024-09-22,CREDIT,Costco,216.24,USD,216.24
9000269,11249,2025-02-20,DEBIT,Target,19.01,USD,-19.01
9000270,11938,2025-12-31,DEBIT,Starbucks,227.13,USD,-227.13
9000271,10548,2024-01-19,DEBIT,Shell,240.42,USD,-240.42
9000272,10272,2025-06-13,DEBIT,Apple,333.23,USD,-333.23
9000273,10975,2025-01-05,DEBIT,Target,258.71,USD,-258.71
9000274,10783,2025-11-21,CREDIT,Shell,430.98,USD,430.98
9000275,11209,2024-01-23,CREDIT,Starbucks,184.41,USD,184.41
9000276,10939,2025-01-19,DEBIT,Apple,205.45,USD,-205.45
9000277,10451,2025-09-10,DEBIT,Target,286.17,USD,-286.17
9000278,10560,2025-10-04,DEBIT,Shell,102.16,USD,-102.16
9000279,11528,2025-06-05,CREDIT,Uber,197.36,USD,197.36
9000280,10093,2025-01-13,DEBIT,Costco,343.4,USD,-343.4
9000281,11330,2025-12-11,DEBIT,Starbucks,206.49,USD,-206.49
9000282,11761,2024-03-30,DEBIT,Amazon,453.4,USD,-453.4
9000283,10516,2024-05-23,CREDIT,Costco,308.03,USD,308.03
9000284,11888,2025-09-12,DEBIT,Shell,77.73,USD,-77.73
9000285,10953,2024-07-22,DEBIT,Starbucks,244.23,USD,-244.23
9000286,10173,2025-07-09,CREDIT,Target,382.62,USD,382.62
9000287,10694,2025-06-03,CREDIT,Costco,322.03,USD,322.03
9000288,11096,2025-01-26,DEBIT,Netflix,442.75,USD,-442.75
9000289,11168,2024-10-27,CREDIT,Shell,375.24,USD,375.24
9000290,10907,2025-05-19,DEBIT,Target,31.75,USD,-31.75
9000291,11687,2024-06-01,DEBIT,Apple,57.14,USD,-57.14
9000292,10055,2025-06-12,CREDIT,Uber,325.22,USD,325.22
9000293,10694,2024-12-04,CREDIT,Target,119.97,USD,119.97
9000294,10633,2025-05-26,DEBIT,Uber,294.33,USD,-294.33
9000295,10243,2024-11-30,CREDIT,Walmart,396.32,USD,396.32
9000296,10893,2025-05-23,DEBIT,Starbucks,288.89,USD,-288.89
9000297,10203,2024-02-25,CREDIT,Shell,208.33,USD,208.33
9000298,11614,2025-07-09,DEBIT,Starbucks,323.49,USD,-323.49
9000299,10015,2025-07-04,DEBIT,Walmart,72.67,USD,-72.67
9000300,10125,2024-05-09,DEBIT,Netflix,361.88,USD,-361.88
9000301,10598,2024-04-07,CREDIT,Shell,348.82,USD,348.82
9000302,10465,2025-02-25,CREDIT,Uber,257.69,USD,257.69
9000303,10789,2024-03-20,CREDIT,Target,140.13,USD,140.13
9000304,11901,2024-10-14,DEBIT,Shell,398.98,USD,-398.98
9000305,11451,2024-06-17,DEBIT,CVS,255.76,USD,-255.76
9000306,11374,2024-03-19,DEBIT,Walmart,30.53,USD,-30.53
9000307,11578,2024-03-11,DEBIT,Netflix,459.39,USD,-459.39
9000308,10078,2024-09-19,DEBIT,CVS,384.09,USD,-384.09
9000309,11524,2025-12-12,CREDIT,Shell,292.82,USD,292.82
9000310,10788,2025-12-23,CREDIT,Starbucks,218.98,USD,218.98
9000311,11402,2025-06-13,DEBIT,Netflix,479.99,USD,-479.99
9000312,10263,2024-07-28,CREDIT,Costco,387.74,USD,387.74
9000313,10304,2024-04-26,CREDIT,Shell,267.96,USD,267.96
9000314,11511,2025-09-07,DEBIT,Starbucks,326.92,USD,-326.92
9000315,10739,2024-03-17,CREDIT,Uber,141.09,USD,141.09
9000316,10124,2024-11-10,DEBIT,Target,98.66,USD,-98.66
9000317,10617,2024-01-11,CREDIT,Apple,137.39,USD,137.39
9000318,10741,2024-02-20,DEBIT,Uber,147.27,USD,-147.27
9000319,11669,2024-01-07,DEBIT,Uber,370.13,USD,-370.13
9000320,10080,2025-07-02,DEBIT,Netflix,70.89,USD,-70.89
9000321,10871,2024-09-17,CREDIT,CVS,389.02,USD,389.02
9000322,11644,2025-07-27,DEBIT,Starbucks,262.17,USD,-262.17
9000323,10174,2025-05-26,DEBIT,Amazon,192.9,USD,-192.9
9000324,10675,2024-07-18,CREDIT,Starbucks,150.9,USD,150.9
9000325,11148,2024-11-25,DEBIT,Apple,257.09,USD,-257.09
9000326,10347,2024-03-30,DEBIT,Amazon,159.44,USD,-159.44
9000327,11912,2025-08-13,DEBIT,Target,215.3,USD,-215.3
9000328,11390,2024-02-24,DEBIT,Apple,369.77,USD,-369.77
9000329,11558,2024-08-08,CREDIT,Netflix,313.37,USD,313.37
9000330,11438,2024-04-01,CREDIT,Netflix,374.24,USD,374.24
9000331,10877,2025-08-08,CREDIT,Netflix,356.77,USD,356.77
9000332,10842,2024-02-25,DEBIT,Costco,407.72,USD,-407.72
9000333,10573,2024-06-27,DEBIT,Walmart,101.64,USD,-101.64
9000334,10723,2024-03-01,DEBIT,Target,497.57,USD,-497.57
9000335,11275,2024-04-26,DEBIT,Netflix,238.41,USD,-238.41
9000336,10607,2025-08-12,CREDIT,Apple,359.4,USD,359.4
9000337,11744,2024-08-23,DEBIT,Amazon,339.2,USD,-339.2
9000338,10568,2024-02-02,DEBIT,CVS,283.51,USD,-283.51
9000339,10233,2025-07-20,CREDIT,Netflix,497.91,USD,497.91
9000340,10357,2024-08-30,DEBIT,Walmart,109.44,USD,-109.44
9000341,11349,2024-03-14,CREDIT,Uber,211.44,USD,211.44
9000342,11088,2024-01-21,DEBIT,Netflix,64.74,USD,-64.74
9000343,10292,2025-12-13,CREDIT,Uber,91.74,USD,91.74
9000344,11347,2024-06-02,CREDIT,Apple,356.77,USD,356.77
9000345,10990,2024-09-10,DEBIT,Costco,3.42,USD,-3.42
9000346,11354,2024-07-25,DEBIT,Starbucks,445.02,USD,-445.02
9000347,10528,2024-05-28,CREDIT,Target,316.96,USD,316.96
9000348,10134,2025-11-25,DEBIT,Apple,221.01,USD,-221.01
9000349,10819,2024-10-28,DEBIT,Uber,166.35,USD,-166.35
9000350,11442,2024-10-23,CREDIT,Costco,64.01,USD,64.01
9000351,10129,2025-05-05,DEBIT,Walmart,460.86,USD,-460.86
9000352,11959,2024-02-13,DEBIT,CVS,356.45,USD,-356.45
9000353,11572,2024-05-23,DEBIT,Starbucks,168.86,USD,-168.86
9000354,11785,2024-08-31,DEBIT,Costco,36.4,USD,-36.4
9000355,10568,2025-02-22,CREDIT,CVS,163.52,USD,163.52
9000356,11380,2025-05-31,DEBIT,Netflix,93.13,USD,-93.13
9000357,10521,2024-03-02,CREDIT,Starbucks,393.35,USD,393.35
9000358,10459,2025-06-21,CREDIT,Shell,360.08,USD,360.08
9000359,10592,2024-11-12,CREDIT,Walmart,249.58,USD,249.58
9000360,10941,2025-03-10,DEBIT,Uber,443.03,USD,-443.03
9000361,11625,2025-11-26,DEBIT,Apple,91.16,USD,-91.16
9000362,10900,2025-01-15,DEBIT,Netflix,226.53,USD,-226.53
9000363,11924,2024-02-05,DEBIT,Shell,355.6,USD,-355.6
9000364,11655,2025-06-25,CREDIT,Uber,34.83,USD,34.83
9000365,10613,2025-08-03,CREDIT,Costco,186.97,USD,186.97
9000366,11518,2024-08-19,DEBIT,Netflix,286.26,USD,-286.26
9000367,10538,2025-11-18,DEBIT,Walmart,184.03,USD,-184.03
9000368,10260,2024-02-02,DEBIT,Costco,240.62,USD,-240.62
9000369,11596,2025-08-03,DEBIT,Netflix,304.45,USD,-304.45
9000370,11159,2024-12-17,CREDIT,Starbucks,184.83,USD,184.83
9000371,11950,2024-09-11,DEBIT,Target,53.9,USD,-53.9
9000372,10608,2024-02-19,CREDIT,Costco,70.58,USD,70.58
9000373,11684,2024-01-23,CREDIT,Netflix,263.97,USD,263.97
9000374,11250,2024-09-10,CREDIT,Target,88.2,USD,88.2
9000375,11812,2025-01-28,DEBIT,Starbucks,445.03,USD,-445.03
9000376,11842,2025-11-06,CREDIT,Target,417.26,USD,417.26
9000377,11870,2024-09-29,CREDIT,Target,175.17,USD,175.17
9000378,10227,2025-11-23,DEBIT,Netflix,415.66,USD,-415.66
9000379,11850,2024-09-06,DEBIT,Costco,267.06,USD,-267.06
9000380,10760,2024-08-24,CREDIT,Starbucks,80.37,USD,80.37
9000381,10257,2024-08-19,DEBIT,Uber,307.49,USD,-307.49
9000382,11437,2025-03-03,DEBIT,Uber,340.05,USD,-340.05
9000383,10825,2025-09-25,DEBIT,Target,42.86,USD,-42.86
9000384,11243,2024-08-29,DEBIT,Shell,157.91,USD,-157.91
9000385,11259,2024-05-13,DEBIT,CVS,3.69,USD,-3.69
9000386,11043,2024-03-11,CREDIT,Amazon,158.9,USD,158.9
